sex	age_group	age_months	n_cells	mean_expression	pct_expressing
Female	03_months	3	178	0.00561797758564353	0.5617977528089888
Female	06_months	6	448	0.01116071455180645	0.8928571428571428
Female	12_months	12	466	0.010729613713920116	0.4291845493562232
Female	16_months	16	257	0.019455252215266228	1.1673151750972763
Female	23_months	23	558	0.01075268816202879	1.0752688172043012
Male	03_months	3	161	0.0	0.0
Male	06_months	6	552	0.018115941435098648	1.0869565217391304
Male	12_months	12	534	0.01123595517128706	0.9363295880149813
Male	16_months	16	140	0.0	0.0
Male	23_months	23	442	0.022624434903264046	1.809954751131222
