cell_type	n_cells	mean_expression	median_expression	pct_expressing	is_candidate
Adipocytes	9065	0.6707115173339844	0.0	33.899613899613904	False
Epididymal cells	19	0.15789473056793213	0.0	15.789473684210526	False
Rdh16 positive cells	8	0.125	0.0	12.5	False
Skeletal muscle cells	446	0.10089685767889023	0.0	5.15695067264574	False
Adipoce stem and progenitor cells	3824	0.056223850697278976	0.0	3.608786610878661	True
Mural cells	1962	0.03720693290233612	0.0	1.9877675840978593	False
Myeloid cells_Dendritic cells	265	0.02641509473323822	0.0	1.1320754716981132	False
Lymphoid cells_Plasma cells	314	0.025477707386016846	0.0	1.2738853503184715	False
Vascular endothelial cells	5966	0.022125376388430595	0.0	1.2571237009721756	True
Mesothelial cells	418	0.016746411100029945	0.0	1.1961722488038278	False
Myeloid cells	3590	0.007242339663207531	0.0	0.4178272980501393	False
Lymphoid cells_B cells	2073	0.0033767486456781626	0.0	0.1929570670525808	False
Lymphoid cells_T cells	2017	0.002478929003700614	0.0	0.2478929102627665	False
Erythroblasts	1	0.0	0.0	0.0	False
Neural cells	32	0.0	0.0	0.0	False
