cell_type	n_cells	mean_expression	median_expression	pct_expressing	is_candidate
Adipocytes	8572	1.1794214248657227	0.0	44.7736817545497	False
Epididymal cells	416	0.38701921701431274	0.0	21.153846153846153	False
Skeletal muscle cells	374	0.16310159862041473	0.0	8.55614973262032	False
Mural cells	1610	0.12173912674188614	0.0	3.7888198757763973	False
Rdh16 positive cells	782	0.11125319451093674	0.0	7.544757033248081	False
Lymphoid cells_Plasma cells	326	0.06441717594861984	0.0	4.601226993865031	False
Adipoce stem and progenitor cells	3944	0.04437119513750076	0.0	3.0933062880324544	True
Mesothelial cells	214	0.04205607622861862	0.0	1.8691588785046727	False
Vascular endothelial cells	4574	0.03738522157073021	0.0	1.7271534761696543	True
Myeloid cells	5765	0.009887251071631908	0.0	0.7805724197745013	False
Myeloid cells_Dendritic cells	356	0.008426966145634651	0.0	0.2808988764044944	False
Lymphoid cells_T cells	1920	0.004166666883975267	0.0	0.26041666666666663	False
Lymphoid cells_B cells	1136	0.0017605633474886417	0.0	0.17605633802816903	False
Erythroblasts	2	0.0	0.0	0.0	False
Neural cells	9	0.0	0.0	0.0	False
